,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
59064,721990004,721990,This Is Sally Tie Tanga,59,Swimwear bottom,Swimwear,1010016,Solid,43,Dark Red,4,Dark,18,Red,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a lace detail at the top, low waist, ties at the sides and a gathered seam at the back."
59065,721990006,721990,This Is Sally Tie Tanga,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a lace detail at the top, low waist, ties at the sides and a gathered seam at the back."
59100,722169001,722169,Gurli jumpsuit,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"Sleeveless jumpsuit in woven fabric with notch lapels and a wrapover front with a concealed button. Seam and detachable tie belt at the waist, side pockets, fake back pockets, and tapered, ankle-length leg with slits at the hems."
59144,722436003,722436,Wrap Queen Top,298,Bikini top,Swimwear,1010001,All over pattern,42,Red,5,Bright,18,Red,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Bikini top with a frill trim that continues up over the shoulders, a wrapover front with long straps that tie at the back and adjustable shoulder straps. Lined."
59147,722437003,722437,Wrap Queen Tie Tanga,59,Swimwear bottom,Swimwear,1010001,All over pattern,42,Red,5,Bright,18,Red,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a low waist and ties at the sides.
59149,722439001,722439,ballet blouse,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in an airy, weave with a V-neck, buttons and pin-tucks down the front, a yoke with a pleat at the back, short, flounced sleeves and a rounded hem. Unlined. The polyester content of the blouse is partly recycled."
59377,723341001,723341,Athena,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1313,Dress,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1013,Dresses Ladies,"Short dress in woven fabric with a V-neck, short, wide sleeves and a gathered yoke at the back. Concealed zip in one side, seam at the waist and a flared skirt. Unlined."
59384,723353001,723353,Bondi Babe Price Swimsuit,57,Swimsuit,Swimwear,1010016,Solid,22,Yellow,5,Bright,8,Yellow,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with narrow, adjustable shoulder straps."
59385,723353002,723353,Bondi Babe Price Swimsuit,57,Swimsuit,Swimwear,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with narrow, adjustable shoulder straps."
59432,723469001,723469,Kelly 2pk Melbourne push ct,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Push-up bras in soft cotton jersey with lace. Underwired, moulded, padded cups for a larger bust and fuller cleavage, adjustable shoulder straps and a narrow fastening at the back."
59433,723469002,723469,Kelly Push (Melbourne) ctn 2p,306,Bra,Underwear,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Push-up bras in soft cotton jersey with lace. Underwired, moulded, padded cups for a larger bust and fuller cleavage, adjustable shoulder straps and a narrow fastening at the back."
59458,723529001,723529,Lazer Razer Adj. push triangle,298,Bikini top,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Triangle bikini top with scalloped trims and gathered, moulded, padded cups for a larger bust and fuller cleavage. Ties at the back and back of the neck."
59531,723874001,723874,Marielle sandalette,92,Heeled sandals,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3528,Heels,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Sandals with narrow straps, covered block heels and elasticated ankle straps. Imitation leather insoles and thermoplastic rubber (TPR) soles. Heel 5.5 cm."
59723,724729001,724729,Solo dress,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Dress in a soft, fine-knit viscose blend a round neckline, 3/4-length sleeves and a gently flared skirt. Unlined."
59763,724905001,724905,Girlfriend R.W.,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,19,Green,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"5-pocket, ankle-length jeans in washed, stretch denim in a slightly looser fit. Regular waist, zip fly and button and tapered legs."
59910,725662002,725662,Ruffle offshoulder Top,298,Bikini top,Swimwear,1010016,Solid,53,Dark Pink,7,Medium,4,Pink,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, strapless bikini top with a frill trim at the top, removable inserts and no fasteners. The polyester content of the bikini top is recycled."
59912,725663002,725663,Ruffle Tanga,59,Swimwear bottom,Swimwear,1010016,Solid,53,Dark Pink,7,Medium,4,Pink,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a low waist and gathered frills at the top. The polyester content of the bikini bottoms is recycled.
60132,726923001,726923,Xtina Bandeau,298,Bikini top,Swimwear,1010026,Other structure,93,Dark Green,2,Medium Dusty,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Non-wired bandeau bikini top with a decorative ring at the front, lined, gently padded cups with removable inserts, narrow detachable shoulder straps and an adjustable hook-and-eye fastening at the back."
60135,726925001,726925,Xtina Cheeky Brief,59,Swimwear bottom,Swimwear,1010026,Other structure,93,Dark Green,2,Medium Dusty,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, wide sides and a high cut at the back."
60138,726938001,726938,Marseille padded Swimsuit,57,Swimsuit,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with a deep V-neck at the front, triangular cups with removable inserts, and cut-out sections at the back and sides. Narrow adjustable shoulder straps that cross at the back."
60146,727029001,727029,S Timeless High Wide Side Brie,59,Swimwear bottom,Swimwear,1010001,All over pattern,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, patterned bikini bottoms with a high waist and medium coverage at the back."
60237,727710001,727710,SPEED Meghan dress,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Knee-length jersey dress with a round neckline with an opening and button at the top, and decorative pleats at the front. Detachable tie belt at the waist and 3/4-length sleeves with buttoned cuffs."
60304,727948001,727948,Granny Push Up Bra,298,Bikini top,Swimwear,1010017,Stripe,71,Light Blue,3,Light,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Bikini top with underwired, moulded, padded cups for a larger bust and a fuller cleavage, and ties at the back of the neck."
60324,728156001,728156,Robin blazer,264,Blazer,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1212,Suit,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1008,Dressed,"Straight-cut jacket in woven fabric with a shawl collar, thin shoulder pads, welt front pockets and 3/4-length sleeves with a short slit at the cuffs. No fasteners. Lined."
60327,728156006,728156,Robin blazer,264,Blazer,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1212,Suit,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1008,Dressed,"Straight-cut jacket in woven fabric with a shawl collar, thin shoulder pads, welt front pockets and 3/4-length sleeves with a short slit at the cuffs. No fasteners. Lined."
60342,728162001,728162,Talia (1),255,T-shirt,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,V-neck T-shirt in cotton jersey with a rounded hem. Slightly longer at the back.
60343,728162002,728162,Talia (1),255,T-shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,V-neck T-shirt in cotton jersey with a rounded hem. Slightly longer at the back.
60352,728197001,728197,Taco,265,Dress,Garment Full body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Short, wide dress in airy, patterned chiffon with a small stand-up collar and an opening with ties at the front. Long sleeves with narrow, buttoned cuffs, a seam at the hips and a gently flared skirt. Jersey underdress with adjustable shoulder straps."
60462,729095001,729095,Solange,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Dress in a crêpe weave with a V-neck, pleats at the front, long, cuffed sleeves and a narrow, detachable tie belt at the waist. Unlined."
60551,729936005,729936,Valetta,258,Blouse,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Blouse in a patterned weave with a small stand-up collar, sewn-in ties at the top, buttons down the front and a yoke with a pleat at the back. Long sleeves with buttoned cuffs, and a rounded hem."
60910,731407001,731407,Macarena,253,Vest top,Garment Upper body,1010016,Solid,11,Off White,1,Dusty Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Top in a crinkled viscose weave with a V-neck front and back, adjustable spaghetti shoulder straps, buttons down the front and a tie-detail hem."
60911,731407002,731407,Macarena,253,Vest top,Garment Upper body,1010001,All over pattern,9,Black,4,Dark,5,Black,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Top in a crinkled viscose weave with a V-neck front and back, adjustable spaghetti shoulder straps, buttons down the front and a tie-detail hem."
60914,731407006,731407,Macarena,253,Vest top,Garment Upper body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Top in a crinkled viscose weave with a V-neck front and back, adjustable spaghetti shoulder straps, buttons down the front and a tie-detail hem."
60918,731425001,731425,Mooncake,258,Blouse,Garment Upper body,1010001,All over pattern,92,Green,7,Medium,19,Green,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in an airy weave with a V-neck, covered buttons at the top and short sleeves. Two elasticated seams and a decorative drawstring at the waist, and a flounced hem. Unlined."
60919,731425002,731425,Mooncake,258,Blouse,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in an airy weave with a V-neck, covered buttons at the top and short sleeves. Two elasticated seams and a decorative drawstring at the waist, and a flounced hem. Unlined."
60920,731425003,731425,Mooncake,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in an airy weave with a V-neck, covered buttons at the top and short sleeves. Two elasticated seams and a decorative drawstring at the waist, and a flounced hem. Unlined."
60986,731644001,731644,Ariella blazer,264,Blazer,Garment Upper body,1010017,Stripe,10,White,3,Light,9,White,1222,Suit jacket,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1008,Dressed,"Jacket in a textured cotton blend with peak lapels, a button at the front, welt front pockets and long sleeves with decorative buttons at the cuffs. Lined."
60987,731644002,731644,Ariella blazer,264,Blazer,Garment Upper body,1010017,Stripe,23,Dark Yellow,4,Dark,8,Yellow,1222,Suit jacket,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1008,Dressed,"Jacket in a textured cotton blend with peak lapels, a button at the front, welt front pockets and long sleeves with decorative buttons at the cuffs. Lined."
61046,732017001,732017,Camille Cardigan,245,Cardigan,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1616,Knitwear,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1003,Knitwear,"Long-sleeved cardigan in a soft fine knit with a V-neck, buttons down the front and ribbing around the neckline, cuffs and hem."
61086,732206001,732206,Evelina Unpad body LS,283,Underwear body,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Body in soft microfibre with a slightly deeper neckline at the back and folded, glued edges for a seamless, comfortable feel against the skin and minimal visibility under clothes. High cut at the back."
61171,732412001,732412,MACARON OL OFFER,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,3090,Campaigns,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1023,Special Offers,"V-neck blouse in a lightly crêped viscose weave with buttons down the front, a yoke and gentle gathers at the shoulders. Long sleeves with gathered cuffs and a rounded hem. Slightly longer at the back."
61172,732412002,732412,MACARON OL OFFER,258,Blouse,Garment Upper body,1010016,Solid,43,Dark Red,4,Dark,18,Red,3090,Campaigns,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1023,Special Offers,"V-neck blouse in a lightly crêped viscose weave with buttons down the front, a yoke and gentle gathers at the shoulders. Long sleeves with gathered cuffs and a rounded hem. Slightly longer at the back."
61173,732412003,732412,MACARON OL OFFER,258,Blouse,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,3090,Campaigns,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1023,Special Offers,"V-neck blouse in a lightly crêped viscose weave with buttons down the front, a yoke and gentle gathers at the shoulders. Long sleeves with gathered cuffs and a rounded hem. Slightly longer at the back."
61179,732418001,732418,Emerald,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Calf-length dress in soft slub jersey made from a modal and cotton blend with a V-neck front and back and narrow shoulder straps. Sewn-in wrapover at the front and a seam at the waist with ties at one side.
61193,732463001,732463,Belle jumpsuit,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"V-neck jumpsuit in soft jersey with short sleeves and a zip at the back of the neck. Elasticated seam at the waist, side pockets and straight, wide legs."
61350,733027002,733027,Tove,254,Top,Garment Upper body,1010001,All over pattern,9,Black,4,Dark,-1,Unknown,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Short top in soft cotton jersey with a round neckline, short sleeves and a seam at the hem with a decorative knot detail at the front."
61351,733027005,733027,Tove,254,Top,Garment Upper body,1010001,All over pattern,33,Dark Orange,4,Dark,11,Beige,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Short top in soft cotton jersey with a round neckline, short sleeves and a seam at the hem with a decorative knot detail at the front."
61352,733027006,733027,Tove,254,Top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Short top in soft cotton jersey with a round neckline, short sleeves and a seam at the hem with a decorative knot detail at the front."
61353,733027010,733027,Tove,254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Short top in soft cotton jersey with a round neckline, short sleeves and a seam at the hem with a decorative knot detail at the front."
61354,733029001,733029,Jennifer tee,255,T-shirt,Garment Upper body,1010008,Front print,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Round-necked jersey T-shirt with a motif.
61383,733076002,733076,Red Velvet,265,Dress,Garment Full body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Sleeveless, ankle-length dress in a viscose crêpe weave with a V-neck, covered buttons down the front, a gathered seam at the waist and a straight-cut skirt that flares gently to the hem. Unlined."
61394,733094001,733094,Truffle,258,Blouse,Garment Upper body,1010022,Jacquard,10,White,3,Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in woven fabric with a slight sheen. Small, gathered stand-up collar, a V-neck opening and concealed buttons at the front and short, wide, raglan sleeves with ties."
61397,733097001,733097,Saga body,256,Bodysuit,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Sleeveless, turtleneck body in stretch, ribbed jersey with press-studs at the crotch."
61403,733098008,733098,Minja top,254,Top,Garment Upper body,1010001,All over pattern,14,Dark Beige,2,Medium Dusty,13,Brown,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted polo-neck top in soft modal jersey with long sleeves.
61404,733098009,733098,Minja top,254,Top,Garment Upper body,1010001,All over pattern,17,Yellowish Brown,4,Dark,13,Brown,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted polo-neck top in soft modal jersey with long sleeves.
61408,733098015,733098,Minja top,254,Top,Garment Upper body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted polo-neck top in soft modal jersey with long sleeves.
61410,733098017,733098,Minja top,254,Top,Garment Upper body,1010001,All over pattern,51,Light Pink,3,Light,4,Pink,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted polo-neck top in soft modal jersey with long sleeves.
61411,733098018,733098,Minja top,254,Top,Garment Upper body,1010001,All over pattern,13,Beige,4,Dark,11,Beige,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted polo-neck top in soft modal jersey with long sleeves.
61412,733098022,733098,Minja top,254,Top,Garment Upper body,1010001,All over pattern,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted polo-neck top in soft modal jersey with long sleeves.
61414,733099001,733099,Thelma,254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Top in airy jersey crêpe with a round neckline and seam down the front. Dropped shoulders, wide sleeves with pleats and close-fitting ribbing at the cuffs, and a straight-cut hem with short slits in the sides."
61421,733101002,733101,Patricia,254,Top,Garment Upper body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted turtleneck top in jersey with long sleeves.
61422,733101004,733101,Patricia,254,Top,Garment Upper body,1010026,Other structure,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted turtleneck top in jersey with long sleeves.
61423,733106001,733106,Riviera S/S,258,Blouse,Garment Upper body,1010001,All over pattern,33,Dark Orange,7,Medium,18,Red,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in a viscose weave with a draped front, sewn-in ties at one side and an opening with a button at the back of the neck. Flounced sleeves, a seam at the hips and a gently flared peplum."
61424,733106003,733106,Riviera S/S,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in a viscose weave with a draped front, sewn-in ties at one side and an opening with a button at the back of the neck. Flounced sleeves, a seam at the hips and a gently flared peplum."
61425,733106004,733106,Riviera S/S,258,Blouse,Garment Upper body,1010001,All over pattern,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Blouse in a viscose weave with a draped front, sewn-in ties at one side and an opening with a button at the back of the neck. Flounced sleeves, a seam at the hips and a gently flared peplum."
61459,733267001,733267,Sibling HW,274,Shorts,Garment Lower body,1010001,All over pattern,10,White,3,Light,9,White,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in an airy weave with a high paper bag waist that is elasticated at the back and a detachable tie belt. Pleats at the top, side pockets and a zip fly with concealed hook-and-eye fasteners."
61460,733267002,733267,Sibling HW,274,Shorts,Garment Lower body,1010017,Stripe,14,Dark Beige,4,Dark,11,Beige,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in an airy weave with a high paper bag waist that is elasticated at the back and a detachable tie belt. Pleats at the top, side pockets and a zip fly with concealed hook-and-eye fasteners."
61463,733267005,733267,Sibling HW,274,Shorts,Garment Lower body,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1723,Shorts,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1025,Shorts,"Short shorts in an airy weave with a high paper bag waist that is elasticated at the back and a detachable tie belt. Pleats at the top, side pockets and a zip fly with concealed hook-and-eye fasteners."
61494,733362002,733362,SECTION SPEED: Juno,265,Dress,Garment Full body,1010001,All over pattern,9,Black,4,Dark,5,Black,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Calf-length dress in a viscose jacquard weave with a V-neck and wrapover front with a hook-and-eye fastener. Long sleeves with gathers and narrow, buttoned cuffs, and a seam at the waist with two concealed press-studs and a narrow tie at one side. Unlined."
61508,733419001,733419,Pearl Jam,265,Dress,Garment Full body,1010001,All over pattern,33,Dark Orange,7,Medium,18,Red,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Knee-length dress in a crêpe weave with a V-neck, buttons down the front and short sleeves with a drawstring. Seam at the waist and a gently flared skirt. Unlined."
61509,733419002,733419,Pearl Jam,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Knee-length dress in a crêpe weave with a V-neck, buttons down the front and short sleeves with a drawstring. Seam at the waist and a gently flared skirt. Unlined."
61511,733419005,733419,Pearl Jam,265,Dress,Garment Full body,1010016,Solid,93,Dark Green,4,Dark,20,Khaki green,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Knee-length dress in a crêpe weave with a V-neck, buttons down the front and short sleeves with a drawstring. Seam at the waist and a gently flared skirt. Unlined."
61518,733441001,733441,Eliza RW linen slack,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in soft, stretch twill made from a linen blend with a regular waist and a zip fly with a hook-and-eye fastener. Side pockets, fake welt back pockets and straight-cut legs that taper gently to the hem with creases and a slit at the hems."
61519,733441002,733441,Eliza RW linen slack,272,Trousers,Garment Lower body,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in soft, stretch twill made from a linen blend with a regular waist and a zip fly with a hook-and-eye fastener. Side pockets, fake welt back pockets and straight-cut legs that taper gently to the hem with creases and a slit at the hems."
61682,733935001,733935,Pretty Please Triangle Top,298,Bikini top,Swimwear,1010001,All over pattern,22,Yellow,5,Bright,8,Yellow,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Triangle bikini top with lined cups, removable inserts and narrow, adjustable straps. Gathered elastication with a small frill trim at the hem and a metal fastener at the back."
61684,733935003,733935,Pretty Please Triangle Top,298,Bikini top,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Triangle bikini top with lined cups, removable inserts and narrow, adjustable straps. Gathered elastication with a small frill trim at the hem and a metal fastener at the back."
61685,733936001,733936,Pretty Please Cheeky Tanga,59,Swimwear bottom,Swimwear,1010001,All over pattern,22,Yellow,5,Bright,8,Yellow,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms. Mid waist with gathered elastication and a small frill trim, and a high cut at the back."
61687,733936003,733936,Pretty Please Cheeky Tanga,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms. Mid waist with gathered elastication and a small frill trim, and a high cut at the back."
61792,734236002,734236,Becca denim,275,Skirt,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1422,Skirt,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1012,Skirts,"Short, 5-pocket skirt in washed denim with a button fly and raw-edge hem."
61810,734282002,734282,Christina mid,275,Skirt,Garment Lower body,1010017,Stripe,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1422,Skirt,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1012,Skirts,"Calf-length skirt in woven fabric with a high waist, concealed zip in one side and wide tie belt. Sewn-in wrapover at the front with draping. Unlined."
61811,734282003,734282,Christina mid,275,Skirt,Garment Lower body,1010017,Stripe,9,Black,4,Dark,5,Black,1422,Skirt,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1012,Skirts,"Calf-length skirt in woven fabric with a high waist, concealed zip in one side and wide tie belt. Sewn-in wrapover at the front with draping. Unlined."
